uem,inc_uem,dindiza,inc_dindiza,massangena,inc_massangena,pomene,inc_pomene,maravia,inc_maravia,nhangau,inc_nhangau,nhapassa_1,inc_nhapassa_1,lugela_1,inc_lugela_1,chomba,inc_chomba,nanhupo_1,inc_nanhupo_1,massangulo,inc_massangulo_1
0.829,-0.003,0.595,-0.595,0.949,0.015,0.994,-0.994,0.532,0.263,0.924,-0.004,0.684,0.014,0.001,-0.001,0.053,-0.025,0.43,-0.192,0.084,-0.017
0.827,-0.016,0.978,-0.978,0.964,-0.036,0.841,-0.841,0.795,0.074,0.919,-0.004,0.698,0.092,0,0,0.028,-0.02,0.238,0.046,0.946,-0.946
0.811,0.03,0.917,-0.917,0.928,-0.928,0.981,-0.981,0.869,0.018,0.915,0.004,0.79,-0.318,0,0,0.008,-0.008,0.284,-0.102,0.941,-0.941
0.841,0.01,0.916,-0.508,0.799,-0.547,0.853,-0.304,0.888,-0.888,0.919,-0.003,0.473,-0.034,0,0,0.518,-0.518,0.182,-0.117,0.982,-0.13
0.851,0.009,0.408,-0.408,0.252,0.005,0.55,-0.023,0.97,-0.146,0.916,0.003,0.439,-0.001,0.342,0.231,0.752,-0.405,0.065,-0.039,0.852,0.121
0.86,-0.009,0.988,-0.988,0.257,0.039,0.526,-0.071,0.825,-0.001,0.919,0.011,0.438,0.125,0.573,-0.573,0.348,-0.348,0.489,0.089,0.973,-0.973
0.851,0.015,0.782,-0.782,0.296,0.553,0.455,0.061,0.823,0.053,0.929,-0.01,0.562,0.058,0,0,0.765,-0.372,0.578,-0.237,0.972,-0.073
0.866,0.003,0.801,-0.296,0.849,-0.849,0.516,-0.076,0.876,-0.177,0.919,-0.008,0.62,-0.085,0.001,-0.001,0.394,0.107,0.341,0.068,0.899,-0.095
0.869,-0.009,0.505,0.059,0.497,0.24,0.186,0.074,0.699,0.086,0.911,0.002,0.536,-0.08,0.077,-0.077,0.5,-0.5,0.409,-0.145,0.804,-0.804
0.859,0.008,0.564,-0.564,0.737,-0.024,0.26,0.212,0.785,-0.191,0.914,0.012,0.456,0.605,0.188,-0.188,0.855,-0.115,0.265,0.197,0.601,-0.225
0.868,0.014,0.932,-0.932,0.714,-0.1,0.473,-0.035,0.594,0.212,0.925,0.01,,-0.123,0,0,0.74,-0.74,0.462,0.229,0.376,-0.085
0.881,0.013,0.788,-0.192,0.614,-0.073,0.437,-0.437,0.806,0.068,0.935,-0.002,0.938,-0.938,0.015,-0.015,0.687,0.203,0.691,-0.068,0.292,0.028
0.894,-0.004,0.596,-0.596,0.541,-0.541,0.699,-0.699,0.873,-0.2,0.933,-0.011,0.831,-0.314,0.003,-0.002,0.89,-0.375,0.624,-0.363,0.32,-0.092
0.89,-0.057,0.864,-0.206,0.958,-0.188,0.679,-0.098,0.674,0.125,0.923,-0.002,0.517,0.369,0.001,0.007,0.515,0.432,0.261,0.268,0.227,0.06
0.833,-0.066,0.658,-0.114,0.771,-0.034,0.582,0.366,0.799,-0.285,0.921,0.002,0.886,-0.886,0.007,-0.007,0.946,-0.296,0.529,0.293,0.287,0.361
0.767,0.091,0.544,-0.544,0.736,-0.25,0.947,-0.947,0.514,-0.044,0.922,-0.009,0.603,0.168,0.439,-0.439,0.651,-0.04,0.822,-0.613,0.648,-0.362
0.859,0.063,0.921,-0.208,0.487,-0.258,0.621,-0.084,0.47,-0.113,0.913,-0.004,0.771,-0.771,0.32,-0.32,0.611,-0.161,0.209,-0.209,0.285,0.144
0.922,-0.44,0.713,-0.113,0.229,-0.01,0.537,0.415,0.357,0.044,0.91,-0.004,0.94,0.108,0.111,-0.111,0.45,0.481,0.703,0.094,0.43,-0.43
0.482,-0.136,0.6,-0.6,0.219,0.066,0.953,0.007,0.401,0.131,0.906,-0.014,,-0.528,0,0.486,0.931,-0.293,0.797,0.137,0.88,0.112
0.346,-0.005,0.852,-0.193,0.285,0.142,0.96,-0.96,0.533,0.109,0.892,-0.008,0.52,-0.52,0.486,-0.486,0.638,-0.066,0.933,0.044,0.992,-0.992
0.341,0.076,0.659,-0.014,0.427,0.164,0.944,-0.408,0.642,0.1,0.884,-0.007,0.791,-0.483,0.001,-0.001,0.573,0.064,0.977,-0.045,0.963,-0.963
0.417,0.093,0.645,-0.029,0.591,-0.17,0.536,0.437,0.741,-0.148,0.877,0.002,0.309,0.337,0.002,0.005,0.636,0.097,0.932,-0.121,0.838,0.12
0.51,-0.1,0.616,0.075,0.421,-0.087,0.972,-0.008,0.593,-0.036,0.879,0.001,0.646,-0.006,0.007,-0.007,0.733,-0.183,0.811,-0.092,0.958,-0.958
0.41,-0.043,0.69,0.162,0.334,-0.014,0.965,-0.167,0.557,0.109,0.879,-0.004,0.64,0.118,0.229,-0.229,0.55,0.079,0.719,0.055,0.488,-0.488
0.367,0.067,0.852,-0.852,0.319,0.066,0.798,-0.798,0.666,0.2,0.876,-0.012,0.757,-0.255,0.001,0.01,0.629,-0.31,0.774,0.113,0.739,-0.318
0.435,0.088,0.895,-0.215,0.385,0.007,0.687,-0.455,0.866,-0.866,0.864,0.008,0.502,0.096,0.01,-0.01,0.319,0.251,0.886,-0.012,0.422,-0.083
0.522,-0.007,0.68,-0.008,0.391,-0.038,0.232,0.171,0.622,-0.076,0.871,-0.008,0.598,-0.598,0.43,-0.43,0.57,-0.108,0.874,-0.013,0.339,-0.016
0.515,0.184,0.673,-0.673,0.353,0.178,0.404,0.215,0.547,-0.172,0.863,0.002,0.883,-0.497,0.195,-0.195,0.462,-0.28,0.861,-0.015,0.323,0.098
0.699,-0.099,0.827,-0.196,0.531,-0.043,0.619,0.17,0.374,0.156,0.866,0.01,0.386,0.003,0.005,-0.005,0.181,-0.019,0.846,0.008,0.421,0.154
0.6,0.026,0.63,-0.006,0.488,0.316,0.789,0.095,0.53,0.404,0.876,-0.01,0.388,0.018,0.135,-0.135,0.162,-0.026,0.854,0.001,0.575,-0.575
0.626,0.171,0.625,-0.625,0.804,0.105,0.883,0.102,0.934,-0.005,0.866,0.001,0.407,0.134,0,0.092,0.136,-0.036,0.855,0.102,0.931,-0.931
0.797,0.023,0.963,-0.372,0.909,-0.909,0.985,-0.062,0.929,-0.436,0.866,-0.005,0.541,0.446,0.092,-0.092,0.1,-0.023,0.956,-0.399,0.997,-0.047
0.82,-0.035,0.59,-0.01,1,-1,0.923,0.077,0.493,0.166,0.861,-0.011,0.987,-0.987,0.322,-0.292,0.077,-0.029,0.557,-0.362,0.95,-0.047
0.785,0.078,0.58,0.02,0.996,0.009,1,-0.001,0.659,0.083,0.851,-0.006,0.678,-0.254,0.03,-0.03,0.049,-0.027,0.195,-0.023,0.903,0.044
0.864,-0.165,0.6,-0.028,,-0.023,0.999,-0.162,0.742,-0.221,0.845,-0.003,0.424,0.359,0,0.006,0.021,-0.017,0.172,0.517,0.947,-0.947
0.698,-0.154,0.573,-0.036,0.981,-0.981,0.837,-0.001,0.521,0.456,0.842,0.001,0.783,-0.783,0.006,0.006,0.004,-0.004,0.69,0.035,0.929,0.034
0.545,0.268,0.537,0.018,0.997,-0.109,0.836,-0.836,0.977,-0.977,0.843,0.007,0.461,0.004,0.011,-0.011,0.862,-0.283,0.725,-0.036,0.963,-0.244
0.813,0.109,0.555,0.006,0.889,0.049,0.851,-0.281,0.83,0.047,0.85,-0.011,0.465,-0.465,0.003,0.001,0.579,0.139,0.689,-0.479,0.718,-0.215
0.921,0.015,0.561,-0.052,0.938,-0.938,0.57,-0.012,0.877,0.115,0.839,0,0.773,-0.773,0.004,-0.004,0.718,-0.718,0.21,-0.135,0.503,-0.12
0.937,-0.011,0.509,-0.043,0.943,-0.051,0.558,-0.004,0.993,-0.993,0.839,-0.002,0.747,-0.182,0.068,-0.068,0.87,0.05,0.074,0.007,0.382,-0.117
0.926,0,0.466,0.007,0.892,-0.297,0.554,0.083,0.362,0.333,0.837,-0.011,0.566,0.255,0,0,0.92,-0.341,0.082,0.13,0.266,-0.145
0.926,-0.003,0.473,0.061,0.596,0.399,0.637,0.188,0.694,-0.042,0.826,-0.009,0.821,-0.135,0,0,0.58,-0.081,0.212,0.156,0.891,-0.358
0.923,0.004,0.534,0.196,0.995,-0.045,0.825,0.177,0.652,-0.652,0.817,-0.01,0.686,-0.219,0.005,-0.004,0.499,0.018,0.368,-0.164,0.532,-0.532
0.927,0.011,0.73,-0.121,0.949,-0.278,,-0.102,0.852,-0.252,0.807,-0.012,0.468,-0.468,0,0.117,0.517,0.205,0.204,-0.161,0.958,-0.958
0.938,0,0.61,0.35,0.672,-0.196,0.901,-0.901,0.6,0.074,0.795,-0.01,0.42,0.069,0.117,-0.117,0.722,-0.297,0.042,-0.016,0.55,-0.227
0.938,-0.139,0.96,-0.96,0.476,0.088,0.888,0.079,0.674,-0.674,0.785,-0.018,0.49,-0.49,0,0,0.425,0.035,0.026,-0.015,0.323,0.404
0.799,-0.043,0.928,-0.928,0.565,-0.047,0.966,0.031,0.841,-0.841,0.767,-0.02,0.984,-0.984,0.013,-0.013,0.46,0.171,0.826,0.096,0.727,-0.28
0.755,-0.018,0.989,-0.989,0.518,-0.518,0.997,-0.005,0.72,0.002,0.747,-0.015,0.329,-0.329,0.001,0.001,0.631,-0.631,0.923,-0.32,0.447,0.266
0.737,0.114,0.998,-0.998,0.899,-0.899,0.992,-0.115,0.722,-0.255,0.732,-0.017,0.674,-0.674,0.001,-0.001,0.801,-0.271,0.602,-0.077,0.714,0.246
0.851,0.038,0.907,-0.167,0.714,0.264,0.877,-0.061,0.467,0.091,0.716,-0.023,0.82,-0.82,0.002,0.007,0.531,-0.176,0.525,-0.268,0.96,-0.96
0.888,0.073,0.74,-0.174,0.979,-0.209,0.816,-0.106,0.558,-0.558,0.693,-0.036,0.613,-0.011,0.008,0.047,0.354,0.238,0.257,0.537,0.517,-0.071
0.962,-0.363,0.567,0.118,0.769,-0.769,0.71,0.213,0.758,0.136,0.657,-0.036,0.602,-0.602,0.055,0.731,0.592,-0.097,0.794,0.024,0.446,-0.023
0.599,-0.599,0.685,-0.685,0.972,-0.39,0.923,-0.063,0.894,0.034,0.621,-0.016,0.72,-0.16,0.786,-0.786,0.495,0.181,0.819,-0.001,0.423,-0.023
0.859,-0.142,0.957,-0.54,0.582,0.106,0.86,-0.077,0.928,0.012,0.605,-0.018,0.56,-0.01,0.208,-0.208,0.676,0.052,0.818,0.054,0.4,-0.028
0.717,-0.108,0.417,0.112,0.689,-0.06,0.783,-0.213,0.941,-0.003,0.587,-0.017,0.55,0.018,0.546,-0.539,0.728,-0.19,0.871,0.037,0.372,-0.035
0.609,0.29,0.529,0.378,0.629,0.24,0.57,0.218,0.938,0.008,0.571,-0.035,0.568,-0.026,0.007,-0.003,0.538,-0.127,0.909,-0.018,0.337,-0.033
0.899,-0.563,0.907,-0.907,0.869,-0.869,0.788,-0.078,0.946,0.029,0.535,-0.064,0.542,0.078,0.004,-0.004,0.41,0.306,0.891,-0.333,0.304,-0.023
0.336,0.238,0.921,-0.086,0.902,-0.902,0.71,-0.007,0.975,-0.004,0.472,-0.067,0.62,0.212,0.366,-0.365,0.716,-0.012,0.558,-0.558,0.281,-0.013
0.574,0.27,0.836,0.082,0.925,-0.925,0.703,-0.218,0.971,0.003,0.405,-0.088,0.831,-0.317,0.001,-0.001,0.704,0.019,0.916,0.056,0.268,0.023
0.843,0.079,0.917,-0.917,0.952,-0.265,0.486,0.191,0.975,0.028,0.317,-0.086,0.515,-0.059,0.003,0.002,0.722,0.03,0.972,0.015,0.291,0.116
0.922,-0.047,0.898,-0.23,0.688,-0.039,0.676,0.167,,0.003,0.231,-0.084,0.456,-0.058,0.005,-0.005,0.752,-0.211,0.986,-0.092,0.407,0.072
0.875,-0.196,0.668,-0.138,0.648,-0.648,0.843,-0.137,,-0.001,0.148,-0.062,0.398,0.023,0.02,-0.02,0.541,0.218,0.895,-0.022,0.479,0.083
0.679,0.174,0.531,0.075,0.823,-0.176,0.706,-0.343,,-0.046,0.086,-0.041,0.421,0.114,0.017,-0.017,0.759,-0.291,0.872,-0.872,0.562,-0.037
