uem,inc_uem,dindiza,inc_dindiza,massangena,inc_massangena,pomene,inc_pomene,maravia,inc_maravia,nhangau,inc_nhangau,nhapassa_1,inc_nhapassa_1,lugela_1,inc_lugela_1,chomba,inc_chomba,nanhupo_1,inc_nanhupo_1,massangulo,inc_massangulo_1
0.559,-0.035,,,0.638,0.346,0.546,0.015,0.848,0.005,0.997,-0.005,0.198,0.021,0.055,-0.05,,,,,0.666,-0.666
0.524,-0.013,,,0.983,-0.009,0.561,0.092,0.852,0.005,0.992,-0.009,0.219,0.496,0.004,-0.004,,,,,0.751,-0.178
0.512,0.034,,,0.975,-0.031,0.653,0.163,0.857,0.007,0.982,0.001,0.714,0.252,0,0,,,,,0.574,0.312
0.546,0.002,,,0.944,-0.065,0.816,0.15,0.864,0.004,0.984,-0.002,0.966,-0.349,0.001,-0.001,,,,,0.886,-0.886
0.548,0.005,,,0.879,0.092,0.965,0.013,0.868,0.002,0.981,0.002,0.617,0.01,0,0.002,,,,,0.823,-0.059
0.554,0.01,,,0.971,0.005,0.978,-0.167,0.87,0,0.983,-0.004,0.627,-0.437,0.002,0.09,,,,,0.764,0.154
0.564,0.012,,,0.976,-0.06,0.811,-0.024,0.87,0.006,0.979,-0.001,0.19,-0.028,0.093,-0.092,,,,,0.918,0.075
0.576,0.019,,,0.915,-0.075,0.788,-0.062,0.876,0.009,0.979,-0.006,0.162,0.109,0,0,,,,,0.993,-0.136
0.595,-0.037,,,0.84,-0.169,0.726,-0.026,0.885,0,0.972,-0.011,0.272,0.408,0,0,,,,,0.857,-0.353
0.558,-0.044,,,0.671,-0.023,0.7,0.012,0.884,0.002,0.961,-0.004,0.679,-0.247,0.115,-0.115,,,,,0.503,0.469
0.513,-0.016,,,0.648,0.328,0.712,-0.105,0.886,-0.001,0.957,-0.001,0.433,-0.184,0.002,-0.002,,,,,0.972,-0.171
0.497,0,,,0.976,-0.077,0.606,0.032,0.885,-0.003,0.956,-0.005,0.249,0.054,0.906,-0.906,,,,,0.801,0.019
0.498,-0.033,,,0.899,-0.09,0.638,-0.023,0.882,0.005,0.95,-0.008,0.303,0.238,0.235,-0.23,,,,,0.82,-0.341
0.464,-0.029,,,0.809,0.076,0.615,-0.025,0.887,0.004,0.942,-0.033,0.541,0.245,0.005,-0.004,,,,,0.479,0.052
0.436,-0.01,,,0.885,0.108,0.589,-0.001,0.891,0.003,0.909,-0.02,0.786,0.016,0,0.116,,,,,0.531,-0.111
0.426,-0.005,,,0.993,-0.06,0.588,0.124,0.894,0.005,0.889,-0.023,0.802,0.066,0.116,-0.116,,,,,0.419,0.234
0.421,0,,,0.933,-0.168,0.712,0.172,0.899,-0.002,0.867,-0.091,0.868,0.009,0.002,-0.002,,,,,0.653,0.187
0.421,-0.003,,,0.764,0.242,0.883,0,0.897,-0.001,0.776,0.007,0.877,-0.071,0.026,-0.026,,,,,0.841,-0.2
0.417,0.011,,,,-0.155,0.883,-0.883,0.896,-0.009,0.783,0.062,0.806,-0.02,0.211,-0.211,,,,,0.641,-0.242
0.428,0,,,0.852,0.148,0.784,-0.169,0.887,0.007,0.845,-0.168,0.786,-0.009,0.145,-0.145,,,,,0.399,0.25
0.428,-0.003,,,,-1,0.614,-0.078,0.894,0.001,0.676,-0.126,0.777,-0.213,0.01,-0.01,,,,,0.649,-0.284
0.425,-0.014,,,0.873,0.092,0.536,0.02,0.895,0.002,0.551,-0.16,0.563,-0.097,0.017,0.045,,,,,0.366,0.253
0.411,0,,,0.964,-0.964,0.557,0.065,0.897,-0.006,,,0.466,-0.102,0.062,-0.062,,,,,0.619,0.03
0.411,-0.003,,,0.825,-0.825,0.622,0.339,0.891,0.004,,,0.364,0.215,0.19,-0.19,,,,,0.649,-0.056
0.408,-0.002,,,0.895,-0.895,0.961,-0.071,0.896,0.036,,,0.579,-0.579,0.058,-0.058,,,,,0.593,-0.354
0.406,-0.005,,,0.874,-0.007,0.89,-0.051,0.932,-0.074,,,0.772,0.027,0,0,,,,,0.239,-0.119
0.401,-0.005,,,0.867,-0.867,0.838,-0.35,0.858,-0.022,,,0.799,0.006,0.044,-0.044,,,,,0.12,-0.12
0.395,-0.004,,,0.995,-0.995,0.488,-0.235,0.836,-0.338,,,0.805,0.008,0,0,,,,,0.916,-0.196
0.392,0.002,,,0.836,-0.27,0.253,0.106,0.498,0.326,,,0.813,0.006,0,0,,,,,0.721,-0.222
0.394,-0.004,,,0.566,-0.053,0.359,-0.359,0.824,0.033,,,0.819,0.001,0,0,,,,,0.499,0.296
0.39,-0.002,,,0.513,0.154,0.985,-0.985,0.857,0.032,,,0.82,0.007,0.314,-0.307,,,,,0.795,-0.345
0.389,-0.002,,,0.666,0.046,0.786,-0.786,0.889,-0.033,,,0.827,-0.047,0.006,-0.006,,,,,0.45,-0.112
0.387,-0.002,,,0.713,0.034,0.7,-0.7,0.856,-0.053,,,0.78,-0.087,0.002,0.001,,,,,0.338,0.408
0.385,-0.004,,,0.746,-0.03,0.964,-0.964,0.803,-0.036,,,0.693,0.056,0.003,0.082,,,,,0.746,0.002
0.381,-0.004,,,0.716,-0.185,0.959,0.042,0.767,-0.015,,,0.749,0.1,0.085,0.146,,,,,0.747,-0.747
0.378,0,,,0.531,-0.531,,-1.001,0.752,-0.034,,,0.849,0.021,0.232,-0.232,,,,,0.968,-0.505
0.378,0,,,0.52,-0.03,0.987,-0.021,0.719,-0.038,,,0.87,0.031,0.075,-0.04,,,,,0.463,0.127
0.378,-0.004,,,0.491,-0.037,0.966,-0.966,0.681,-0.036,,,0.901,-0.089,0.035,0.423,,,,,0.59,0.236
0.374,-0.004,,,0.453,-0.032,0.986,-0.986,0.646,-0.044,,,0.811,0.021,0.458,-0.458,,,,,0.826,-0.376
0.37,-0.002,,,0.422,-0.011,0.863,-0.128,0.602,-0.049,,,0.833,-0.012,0.025,-0.025,,,,,0.449,0.042
0.368,-0.004,,,0.411,-0.029,0.735,-0.361,0.553,-0.051,,,0.82,-0.037,0.031,-0.031,,,,,0.492,-0.059
0.365,-0.004,,,0.382,0.09,0.374,-0.186,0.502,-0.11,,,0.784,0.15,0.52,-0.52,,,,,0.433,0.196
0.361,-0.002,,,0.472,0.229,0.188,0.019,0.393,-0.173,,,0.934,0.027,0,0,,,,,0.63,-0.305
0.359,-0.004,,,0.701,-0.701,0.207,-0.207,0.22,-0.135,,,0.96,-0.125,0.003,0.268,,,,,0.324,0.079
0.355,-0.004,,,0.821,-0.318,0.864,-0.864,0.085,-0.071,,,0.836,-0.263,0.271,-0.27,,,,,0.404,0.274
0.351,-0.002,,,0.504,-0.095,0.918,-0.918,0.014,-0.014,,,0.573,-0.292,0.001,-0.001,,,,,0.678,-0.124
0.349,-0.002,,,0.409,-0.013,0.931,-0.931,0.007,0.046,,,0.28,0.003,0.12,-0.12,,,,,0.554,0.116
0.347,-0.002,,,0.397,0.316,0.85,-0.064,0.053,0.087,,,0.283,0.598,0.056,-0.056,,,,,0.67,0.205
0.345,-0.004,,,0.712,-0.187,0.786,0.047,0.14,0.106,,,0.881,-0.003,0,0,,,,,0.875,0.068
0.341,-0.002,,,0.525,0.398,0.832,-0.054,0.246,0.093,,,0.878,0.1,0,0,,,,,0.943,-0.601
0.339,-0.002,,,0.923,0.061,0.779,0.065,0.339,0.064,,,0.978,-0.095,0.001,0.019,,,,,0.342,-0.342
0.337,0,,,0.984,0.022,0.843,0.059,0.403,0.056,,,0.882,-0.041,0.02,-0.016,,,,,0.42,0.122
0.337,-0.002,,,,-0.013,0.903,-0.018,0.459,0.047,,,0.841,0.101,0.003,-0.003,,,,,0.542,-0.085
0.335,0,,,0.993,-0.003,0.884,-0.299,0.505,0.042,,,0.942,-0.179,0.01,-0.009,,,,,0.457,-0.187
0.334,-0.002,,,0.99,-0.001,0.586,-0.246,0.548,0.036,,,0.763,0.14,0.001,-0.001,,,,,0.27,0.047
0.332,-0.002,,,0.99,0.005,0.34,0.166,0.584,0.032,,,0.903,-0.034,0.145,-0.145,,,,,0.317,0.177
0.33,-0.002,,,0.995,0.014,0.506,0.317,0.616,0.03,,,0.868,0.046,0,0,,,,,0.494,0.027
0.328,-0.004,,,,-0.319,0.822,-0.822,0.645,0.025,,,0.914,0.007,0,0.423,,,,,0.522,-0.07
0.324,-0.002,,,0.689,-0.235,0.744,-0.744,0.67,0.024,,,0.921,-0.1,0.423,-0.423,,,,,0.452,0.161
0.321,-0.002,,,0.454,0.239,0.815,-0.296,0.694,0.021,,,0.821,0.093,0.001,-0.001,,,,,0.613,0.354
0.319,-0.002,,,0.693,0.002,0.519,-0.136,0.715,0.018,,,0.914,-0.078,0.102,-0.102,,,,,0.967,-0.461
0.317,-0.002,,,0.696,-0.696,0.383,-0.383,0.732,0.015,,,0.837,0.094,0.001,-0.001,,,,,0.506,0.204
0.314,-0.002,,,0.883,-0.117,,-0.092,0.748,0.015,,,0.931,-0.101,0.282,-0.282,,,,,0.711,0.055
0.312,-0.002,,,0.766,0.144,0.912,-0.196,0.763,0.012,,,0.831,-0.014,0.229,-0.229,,,,,0.765,0.157
0.31,-0.002,,,0.91,-0.44,0.716,-0.226,0.775,0.009,,,0.817,0.137,0.076,0.354,,,,,0.922,-0.291
0.307,-0.002,,,0.47,0.411,0.49,-0.148,0.784,0.009,,,0.954,-0.281,0.43,-0.43,,,,,0.631,0.304
0.305,-0.002,,,0.881,-0.881,0.342,-0.342,0.793,0.008,,,0.672,0.044,0.015,-0.015,,,,,0.935,-0.032
0.302,-0.002,,,0.744,0.003,0.944,-0.256,0.801,0.011,,,0.717,0.261,0,0.004,,,,,0.903,-0.377
0.3,0,,,0.747,0.097,0.688,-0.271,0.812,0.007,,,0.978,-0.02,0.005,0.029,,,,,0.526,0.238
0.3,-0.003,,,0.844,0.043,0.417,-0.417,0.818,0.009,,,0.958,-0.033,0.034,-0.019,,,,,0.764,-0.433
0.297,0,,,0.887,-0.887,0.978,-0.249,0.828,0.006,,,0.925,-0.326,0.015,-0.015,,,,,0.331,0.655
0.297,0,,,0.822,-0.822,0.728,-0.264,0.834,0.006,,,0.598,0.355,0,0.059,,,,,0.986,-0.986
0.297,0,,,0.676,0.083,0.464,-0.464,0.839,0,,,0.954,-0.087,0.059,-0.059,,,,,0.968,-0.301
0.296,0,,,0.759,-0.759,0.645,0,0.839,0.008,,,0.867,-0.556,0.756,-0.756,,,,,0.667,-0.016
0.296,0.002,,,0.978,-0.978,0.646,0.046,0.847,0.007,,,0.311,0.128,0,0.041,,,,,0.651,-0.208
0.298,0.002,,,0.853,-0.288,0.692,-0.107,0.854,0,,,0.439,-0.009,0.041,-0.041,,,,,0.443,0.269
0.3,0.002,,,0.565,-0.565,0.585,-0.071,0.854,0.002,,,0.431,0.015,0.001,-0.001,,,,,0.712,0.157
0.303,0.002,,,0.78,-0.044,0.514,0.103,0.856,0.002,,,0.445,0.47,0.002,-0.002,,,,,0.869,0.012
0.305,0.007,,,0.736,-0.736,0.617,-0.057,0.858,0.006,,,0.915,0.081,0.031,-0.03,,,,,0.881,-0.032
0.312,0.007,,,0.836,-0.613,0.56,0.186,0.864,-0.004,,,0.996,-0.263,0.001,-0.001,,,,,0.849,-0.084
0.319,0.005,,,0.223,-0.223,0.746,0.034,0.86,0.008,,,0.734,-0.074,0.006,-0.004,,,,,0.765,-0.183
0.324,0.008,,,0.668,0.234,0.78,0.127,0.868,0.005,,,0.66,-0.082,0.003,0.001,,,,,0.582,-0.232
0.332,0.008,,,0.902,-0.045,0.907,0.052,0.873,0.002,,,0.578,-0.399,0.004,-0.004,,,,,0.349,-0.238
0.34,0.005,,,0.857,0.073,0.958,-0.056,0.875,0.007,,,0.179,-0.047,0,0,,,,,0.111,-0.103
0.345,0.01,,,0.93,-0.008,0.902,-0.183,0.882,0.014,,,0.133,0.002,0.746,0.035,,,,,0.008,-0.008
0.355,0.008,,,0.922,-0.208,0.719,-0.271,0.896,0.002,,,0.135,0.002,0.781,-0.78,,,,,0.886,-0.886
0.363,0.006,,,0.714,-0.118,0.448,0.206,0.898,0.014,,,0.137,0.001,0.001,-0.001,,,,,0.908,-0.908
0.369,0.006,,,0.596,0.164,0.654,-0.086,0.911,0.015,,,0.137,0.015,0,0,,,,,0.818,-0.818
0.374,0.006,,,0.76,-0.76,0.568,0.374,0.926,-0.117,,,0.153,0.005,0,0,,,,,0.955,-0.404
0.38,0.003,,,0.835,-0.459,0.942,-0.019,0.809,0.08,,,0.158,-0.037,0,0,,,,,0.551,0.032
0.383,0.003,,,0.376,0.148,0.923,-0.02,0.888,0.042,,,0.121,0.01,0.002,-0.002,,,,,0.583,0.019
0.387,0.001,,,0.524,0.264,0.903,0.02,0.93,0.006,,,0.131,0.058,0.004,-0.004,,,,,0.602,-0.602
0.387,0.003,,,0.788,-0.788,0.923,0.017,0.936,-0.363,,,0.189,0.05,0.047,0.399,,,,,0.963,-0.274
0.39,0.001,,,0.783,-0.043,0.94,-0.002,0.573,0.468,,,0.238,-0.051,0.446,-0.446,,,,,0.69,-0.057
0.391,0.001,,,0.74,0.022,0.937,-0.066,,-0.002,,,0.187,-0.002,0.01,-0.01,,,,,0.633,-0.633
0.392,-0.002,,,0.762,0.078,0.871,0.022,,-0.113,,,0.185,-0.185,0.026,0.173,,,,,0.96,-0.96
0.39,-0.002,,,0.84,0.032,0.893,0.064,0.926,-0.028,,,0.894,0.017,0.199,-0.199,,,,,0.55,-0.55
0.387,0.001,,,0.872,-0.05,0.957,0.007,0.898,-0.33,,,0.911,0.012,0.788,-0.788,,,,,0.404,-0.404
0.388,0.004,,,0.822,0.061,0.964,-0.007,0.567,-0.258,,,0.923,-0.268,0.005,0.004,,,,,0.995,-0.137
0.391,0.001,,,0.883,-0.185,0.957,0.001,0.31,-0.07,,,0.655,0.166,0.009,0.248,,,,,0.859,-0.226
0.392,0.004,,,0.698,0.06,0.958,-0.001,0.24,0.481,,,0.821,-0.149,0.256,-0.256,,,,,0.632,-0.27
0.396,0.001,,,0.758,0.07,0.958,0.002,0.721,0.153,,,0.672,-0.059,0.004,-0.004,,,,,0.362,-0.224
0.396,0.007,,,0.828,-0.093,0.959,-0.002,0.873,-0.267,,,0.613,0.008,0.001,-0.001,,,,,0.138,-0.084
0.403,0.004,,,0.735,0.181,0.957,0.003,0.607,0.178,,,0.621,0.094,0.006,-0.006,,,,,0.054,-0.054
0.407,0.004,,,0.916,-0.067,0.96,-0.004,0.785,-0.305,,,0.715,-0.715,0.312,-0.312,,,,,0.911,-0.911
0.411,0.007,,,0.849,-0.008,0.956,0,0.48,-0.335,,,0.911,-0.146,0.006,-0.006,,,,,0.985,-0.615
0.418,0.01,,,0.842,0.1,0.956,-0.007,0.145,0.418,,,0.765,-0.461,0.002,-0.002,,,,,0.369,0.295
0.429,0.007,,,0.941,-0.011,0.949,-0.002,0.563,0.008,,,0.303,0.12,0,0,,,,,0.664,-0.344
0.436,0.004,,,0.93,0.008,0.946,-0.001,0.57,-0.033,,,0.423,-0.423,0.637,-0.636,,,,,0.32,0.378
0.44,0.011,,,0.938,-0.015,0.945,-0.005,0.537,-0.046,,,0.497,0.036,0.002,-0.002,,,,,0.697,-0.12
0.451,0.008,,,0.924,0.013,0.94,-0.006,0.492,-0.099,,,0.533,-0.334,0.001,0.001,,,,,0.577,-0.577
0.459,0.008,,,0.937,0.015,0.934,-0.004,0.393,-0.197,,,0.199,0.37,0.001,-0.001,,,,,0.825,0.075
0.467,0.008,,,0.951,-0.462,0.93,-0.003,0.196,-0.09,,,0.569,-0.367,0.067,0.561,,,,,0.899,-0.899
0.475,0.005,,,0.489,0.039,0.927,-0.012,0.106,-0.061,,,0.202,0.283,0.628,-0.627,,,,,0.604,-0.604
0.48,0.005,,,0.528,0.388,0.915,-0.001,0.046,-0.039,,,0.485,0.105,0.001,0.004,,,,,0.369,-0.369
0.486,0.009,,,0.917,-0.505,0.914,-0.004,0.007,-0.007,,,0.59,-0.137,0.004,0.063,,,,,0.235,0.211
0.494,0.005,,,0.412,0.538,0.91,-0.008,0.007,0.043,,,0.453,-0.201,0.067,-0.067,,,,,0.446,0.098
0.5,0.002,,,0.95,0.007,0.901,-0.006,0.05,0.087,,,0.252,0.302,0,0,,,,,0.544,-0.198
0.502,0.006,,,0.957,0.005,0.896,-0.008,0.136,0.109,,,0.555,0.052,0.006,-0.006,,,,,0.346,0.198
0.507,0.002,,,0.962,0.001,0.888,-0.011,0.245,0.097,,,0.606,0.056,0.541,-0.531,,,,,0.544,0
0.51,0.006,,,0.963,0.004,0.877,-0.012,0.342,0.062,,,0.663,0.111,0.01,-0.01,,,,,0.544,0.109
0.515,0.002,,,0.967,0.007,0.865,-0.023,0.404,0.053,,,0.774,0.168,0,0,,,,,0.653,-0.206
0.518,0.002,,,0.975,-0.01,0.842,-0.019,0.457,0.049,,,0.942,-0.04,0,0,,,,,0.447,0.192
0.52,0.002,,,0.965,-0.001,0.824,-0.013,0.506,0.041,,,0.902,-0.154,0.01,0.036,,,,,0.64,-0.278
0.522,0.002,,,0.964,0.007,0.811,0.013,0.547,0.036,,,0.748,0.099,0.046,-0.046,,,,,0.361,-0.068
0.525,0.003,,,0.97,-0.005,0.824,-0.039,0.583,0.031,,,0.846,-0.383,0.231,-0.231,,,,,0.293,0.066
0.527,0.003,,,0.966,0.003,0.785,0.001,0.614,0.027,,,0.463,0.448,0.046,-0.046,,,,,0.359,-0.359
0.53,0.003,,,0.969,-0.003,0.786,-0.027,0.642,0.024,,,0.911,-0.227,0.466,-0.466,,,,,0.994,-0.143
0.533,0.003,,,0.965,0.018,0.758,0,0.666,0.022,,,0.684,0.298,0.003,-0.002,,,,,0.85,0.027
0.535,0.003,,,0.984,0.006,0.758,0.026,0.688,0.018,,,0.983,-0.094,0.001,0.462,,,,,0.877,-0.233
0.538,-0.001,,,0.989,-0.022,0.784,0.001,0.706,0.017,,,0.889,-0.303,0.462,-0.462,,,,,0.645,-0.135
0.537,0.011,,,0.968,-0.009,0.786,-0.028,0.723,0.015,,,0.586,-0.305,0.003,-0.003,,,,,0.51,-0.254
0.548,0.003,,,0.958,-0.032,0.758,0.034,0.738,0.014,,,0.281,0.574,0,0.693,,,,,0.256,-0.145
0.551,0.007,,,0.926,-0.499,0.792,-0.061,0.752,0.012,,,0.855,-0.855,0.693,-0.693,,,,,0.112,-0.074
0.558,0.003,,,0.427,0.174,0.731,-0.031,0.764,0.011,,,0.303,0.385,0,0,,,,,0.037,-0.037
0.561,0.003,,,0.601,-0.243,0.7,-0.046,0.774,0.01,,,0.688,-0.057,0,0,,,,,0.868,-0.088
0.565,0.008,,,0.359,-0.057,0.654,-0.084,0.785,0.009,,,0.63,-0.227,0,0,,,,,0.779,-0.235
0.572,0.008,,,0.301,0.301,0.57,-0.174,0.793,0.009,,,0.403,0.45,0.003,0.001,,,,,0.545,-0.034
0.58,0.004,,,0.603,-0.261,0.396,-0.105,0.803,0.008,,,0.853,-0.057,0.003,-0.003,,,,,0.511,-0.113
0.584,0.008,,,0.341,0.199,0.29,-0.047,0.811,0.007,,,0.796,-0.796,0,0,,,,,0.398,-0.078
0.592,0.013,,,0.541,-0.541,0.243,-0.243,0.818,0.006,,,0.74,-0.443,0,0,,,,,0.32,0.123
0.606,0.018,,,0.931,-0.334,0.588,0.085,0.824,0.006,,,0.297,0.285,0.012,-0.012,,,,,0.443,0.132
0.624,0.019,,,0.597,0.236,0.673,-0.673,0.83,0.005,,,0.582,-0.582,0.001,-0.001,,,,,0.575,0.178
0.643,0.034,,,0.833,0.134,0.984,-0.984,0.836,0.005,,,0.499,0.059,0.268,-0.242,,,,,0.753,0.019
0.677,0.05,,,0.967,-0.967,0.946,-0.946,0.84,0.004,,,0.557,0.203,0.026,-0.024,,,,,0.772,-0.772
0.728,0.067,,,0.504,0.359,0.928,-0.928,0.844,0.003,,,0.76,-0.76,0.002,-0.002,,,,,0.649,-0.649
0.795,0.048,,,0.863,-0.863,0.978,0.025,0.847,0.005,,,0.746,-0.026,0,0,,,,,0.571,0.162
0.843,0.05,,,0.948,-0.07,,-1.003,0.852,0.003,,,0.719,0.276,0.031,-0.031,,,,,0.734,-0.734
0.893,0.036,,,0.878,-0.094,0.916,-0.22,0.855,0.002,,,0.995,-0.817,0.002,-0.002,,,,,0.954,-0.954
0.928,0.042,,,0.784,0.053,0.696,-0.292,0.857,0.003,,,0.179,0.821,0.001,0,,,,,0.733,0.26
0.971,0.027,,,0.837,-0.837,0.404,-0.404,0.86,0.005,,,0.999,-0.999,0.001,0.034,,,,,0.993,-0.204
0.998,-0.998,,,0.952,0.051,,-0.237,0.865,0.021,,,0.269,0.021,0.035,0.039,,,,,0.789,0.129
0.993,-0.029,,,,-1.003,0.845,-0.284,0.886,0.033,,,0.289,-0.016,0.074,-0.074,,,,,0.918,-0.918
0.964,-0.016,,,0.397,-0.035,0.561,-0.561,0.919,-0.516,,,0.274,0.179,0.5,-0.235,,,,,0.779,-0.779
0.948,-0.06,,,0.362,0.112,0.78,0.027,0.402,-0.056,,,0.453,0.463,0.265,-0.265,,,,,0.956,-0.138
0.888,-0.004,,,0.474,,0.807,-0.807,0.346,0.528,,,0.916,-0.916,0.052,-0.052,,,,,0.819,-0.819
0.884,0.049,,,0.847,0.02,0.951,-0.951,0.875,0.025,,,0.887,-0.325,0.001,0,,,,,0.555,-0.186
0.933,0.012,,,0.867,-0.001,,-0.355,0.899,-0.092,,,0.562,-0.562,0.001,-0.001,,,,,0.369,0.288
0.945,-0.011,,,0.866,0.013,0.647,-0.647,0.807,0.091,,,0.733,-0.672,0.014,-0.014,,,,,0.658,-0.658
0.934,-0.044,,,0.879,0.008,,-0.075,0.898,-0.063,,,0.061,0.258,0.083,-0.083,,,,,0.909,-0.646
0.891,0.012,,,0.887,0.006,0.936,-0.34,0.835,-0.396,,,0.319,-0.319,0,0,,,,,0.264,0.271
0.903,0.004,,,0.893,-0.001,0.596,-0.596,0.438,0.463,,,0.892,-0.106,0.09,-0.09,,,,,0.535,-0.535
0.907,-0.022,,,0.892,0.007,0.925,-0.263,0.902,0.061,,,0.787,0.088,0.93,-0.93,,,,,0.708,-0.708
0.885,-0.014,,,0.898,0.017,0.662,0.176,0.963,-0.963,,,0.874,0.036,0.005,-0.004,,,,,0.868,-0.158
0.87,-0.024,,,0.916,0.012,0.838,-0.079,0.795,-0.582,,,0.911,0.023,0.001,0.021,,,,,0.709,-0.709
0.846,0.011,,,0.928,0.009,0.759,-0.002,0.213,0.449,,,0.934,-0.019,0.022,-0.022,,,,,0.958,-0.12
0.858,0.106,,,0.936,0.001,0.757,-0.038,0.662,0.218,,,0.914,-0.353,0.016,-0.015,,,,,0.837,-0.837
0.964,-0.005,,,0.938,-0.1,0.719,-0.287,0.881,-0.001,,,0.561,0.079,0,0,,,,,0.997,-0.027
0.959,-0.005,,,0.838,0.023,0.433,0.144,0.879,-0.005,,,0.64,-0.64,0.104,-0.104,,,,,0.97,-0.407
0.954,0.015,,,0.86,0.099,0.577,-0.577,0.875,0.035,,,0.963,-0.963,0.009,-0.009,,,,,0.563,-0.325
0.968,-0.006,,,0.959,-0.022,0.965,-0.965,0.91,-0.038,,,0.832,0.071,0.039,-0.039,,,,,0.238,0.406
0.963,-0.071,,,0.938,-0.085,0.528,0.413,0.872,-0.29,,,0.903,0.021,0.096,-0.096,,,,,0.644,-0.293
0.892,-0.064,,,0.853,-0.211,0.941,-0.49,0.582,-0.479,,,0.924,-0.051,0.098,-0.096,,,,,0.352,-0.184
0.828,-0.011,,,0.641,0.137,0.451,-0.246,0.104,0.02,,,0.873,-0.118,0.002,-0.001,,,,,0.168,-0.077
0.817,0,,,0.778,0.179,0.205,0.732,0.124,0.397,,,0.755,0.099,0.001,0.23,,,,,0.091,-0.091
0.817,-0.012,,,0.957,-0.572,0.936,-0.062,0.52,0.134,,,0.855,-0.448,0.23,-0.23,,,,,0.979,-0.979
0.804,0.011,,,0.385,0.324,0.875,-0.875,0.654,-0.044,,,0.407,0.314,0.001,-0.001,,,,,0.912,-0.136
0.816,-0.014,,,0.708,0.234,0.634,0.186,0.61,-0.05,,,0.721,-0.721,0.01,-0.007,,,,,0.775,-0.078
0.802,-0.002,,,0.943,-0.452,0.819,-0.819,0.56,-0.053,,,0.395,-0.161,0.003,0.471,,,,,0.697,0.08
0.8,-0.002,,,0.491,0.455,0.571,0.323,0.506,-0.095,,,0.234,-0.015,0.474,-0.474,,,,,0.777,-0.777
0.798,-0.003,,,0.946,-0.095,0.894,-0.894,0.412,-0.135,,,0.219,0.03,0.454,-0.331,,,,,0.445,-0.024
0.795,-0.003,,,0.85,-0.289,0.881,0.058,0.277,-0.13,,,0.249,0.267,0.123,0.221,,,,,0.421,0.251
0.792,-0.004,,,0.562,0.278,0.939,-0.347,0.147,-0.095,,,0.516,0.45,0.344,-0.333,,,,,0.673,-0.673
0.788,-0.02,,,0.84,-0.392,0.592,-0.071,0.052,-0.045,,,0.966,-0.001,0.012,-0.012,,,,,0.862,-0.295
0.769,-0.006,,,0.448,0.312,0.522,0.131,0.007,-0.007,,,0.965,-0.258,0.017,-0.017,,,,,0.567,-0.206
0.763,-0.006,,,0.76,-0.231,0.652,-0.101,0.001,0.024,,,0.707,-0.707,0.002,-0.002,,,,,0.362,0
0.757,0.01,,,0.529,0.333,0.551,0.331,0.026,0.077,,,0.163,-0.008,0.001,0.96,,,,,0.362,-0.362
0.767,-0.007,,,0.862,-0.25,0.882,0.107,0.103,0.108,,,0.155,-0.032,0.961,-0.961,,,,,0.632,-0.277
0.759,-0.008,,,0.612,0.108,0.988,-0.399,0.211,0.104,,,0.122,0.018,0.011,0.009,,,,,0.355,0.329
0.751,-0.01,,,0.72,0.179,0.589,-0.095,0.315,0.07,,,0.141,0.008,0.02,-0.015,,,,,0.683,-0.248
0.741,0.029,,,0.899,-0.319,0.494,-0.494,0.385,0.054,,,0.149,0.079,0.005,-0.005,,,,,0.436,0.506
0.77,-0.01,,,0.581,-0.581,0.966,-0.048,0.438,0.05,,,0.228,0.089,0.164,-0.164,,,,,0.942,-0.549
0.76,0.01,,,0.742,-0.082,0.918,-0.918,0.489,0.044,,,0.317,0.06,0.066,-0.065,,,,,0.393,0.323
0.769,-0.012,,,0.66,0.311,0.943,-0.943,0.533,0.038,,,0.377,-0.183,0.001,0.325,,,,,0.716,0.107
0.757,-0.014,,,0.971,0.027,0.932,-0.932,0.571,0.032,,,0.193,0.282,0.326,-0.326,,,,,0.823,-0.105
0.743,,,,0.998,-0.606,0.9,-0.9,0.603,0.028,,,0.475,-0.139,0,0,,,,,0.719,-0.394
0.606,0.025,,,0.391,0.495,0.998,-0.998,0.631,0.025,,,0.336,0.203,0,0,,,,,0.325,0.128
0.63,-0.002,,,0.887,-0.887,0.945,-0.122,0.656,0.022,,,0.539,0.283,0.001,-0.001,,,,,0.452,0.029
0.629,0.021,,,0.903,-0.242,0.823,-0.203,0.678,0.019,,,0.822,-0.17,0.001,-0.001,,,,,0.482,-0.115
0.65,-0.003,,,0.661,0.061,0.62,-0.62,0.697,0.017,,,0.652,0.201,0,0,,,,,0.366,0.009
0.647,0.018,,,0.722,0.128,0.473,-0.079,0.714,0.016,,,0.852,-0.031,0.004,-0.004,,,,,0.375,-0.375
0.665,-0.004,,,0.851,-0.851,0.394,-0.394,0.729,0.013,,,0.821,-0.037,0.024,0.077,,,,,0.881,-0.115
0.661,0.035,,,0.808,0.201,0.325,-0.105,0.742,0.012,,,0.785,0.156,0.101,-0.101,,,,,0.766,-0.766
0.696,-0.025,,,,-1.009,0.219,-0.019,0.754,0.013,,,0.94,-0.063,0.001,-0.001,,,,,0.411,0.019
0.671,0.013,,,0.847,-0.847,0.2,-0.009,0.767,0.011,,,0.877,-0.14,0.001,0,,,,,0.43,0.478
